OBEC,OKRES,PSC
Hrubá Borša,Senec,900 50
Hruboňovo,Nitra,951 25
Hrubov,Humenné,067 23
Hrubý Šúr,Senec,903 01
Hrušov,Rožňava,049 43
Hrušov,Veľký Krtíš,991 42
Hrušovany,Topoľčany,956 13
Hrušovo,Rimavská Sobota,
Hruštín,Námestovo,029 52
Hubice,Dunajská Streda,930 39
Hubina,Piešťany,922 21
Hubošovce,Sabinov,082 66
Hubová,Ružomberok,034 91
Hubovo,Rimavská Sobota,980 50
Hucín,Revúca,049 13
Hudcovce,Humenné,067 45
Hul,Nové Zámky,941 44
Humenné,Humenné,066 01
Huncovce,Kežmarok,059 92
Hunkovce,Svidník,090 03
Hurbanova Ves,Senec,903 01
Hurbanovo,Komárno,
Husák,Sobrance,072 51
Husiná,Rimavská Sobota,985 42
Hutka,Bardejov,086 36
Huty,Liptovský Mikuláš,027 32
Hviezdoslavov,Dunajská Streda,930 41
Hvozdnica,Bytča,013 56
Hybe,Liptovský Mikuláš,
Hýľov,Košice - okolie,044 12
Chanava,Rimavská Sobota,980 44
Chľaba,Nové Zámky,943 65
Chlebnice,Dolný Kubín,027 55
Chlmec,Humenné,067 41
Chmeľnica,Stará Ľubovňa,064 01
Chmeľov,Prešov,082 15
Chmeľová,Bardejov,086 33
Chmeľovec,Prešov,082 12
Chmiňany,Prešov,082 33
Chminianska Nová Ves,Prešov,082 33
Chminian. Jakubovany,Prešov,082 33
Choča,Zlaté Moravce,951 76
Chocholná-Velčice,Trenčín,913 04
Choňkovce,Sobrance,072 63
Chorvátsky Grob,Senec,900 25
Chorváty,Košice - okolie,044 02
Chotča,Stropkov,090 21
Chotín,Komárno,946 31
Chrabrany,Topoľčany,955 01
Chrámec,Rimavská Sobota,980 42
Chrasť nad Hornádom,Spišská Nová Ves,053 63
Chrastince,Veľký Krtíš,991 08
Chrastné,Košice - okolie,044 44
Chrašťany,Zlaté Moravce,951 75
Chrenovec - Brusno,Prievidza,972 32
Chropov,Skalica,908 64
Chrťany,Veľký Krtíš,991 21
Chtelnica,Piešťany,922 05
Chudá Lehota,Bánovce nad Bebravou,956 38
Chvalová,Revúca,982 62
Chvojnica,Myjava,906 06
Chvojnica,Prievidza,972 13
Chynorany,Partizánske,956 33
Chyžné,Revúca,049 18
Igram,Senec,900 84
Ihľany,Kežmarok,059 94
Ihráč,Žiar nad Hronom,967 01
Ilava,Ilava,019 01
Iliašovce,Spišská Nová Ves,053 11
Ilija,Banská Štiavnica,969 01
Imeľ,Komárno,946 52
Iňa,Levice,935 35
Iňačovce,Michalovce,072 11
Inovce,Sobrance,072 64
Ipeľské Predmostie,Veľký Krtíš,991 10
Ipeľské Úľany,Levice,935 82
Ipeľský Sokolec,Levice,935 75
Istebné,Dolný Kubín,027 53
Ivachnová,Ružomberok,034 83
Ivančiná,Turčianske Teplice,038 45
Ivanice,Rimavská Sobota,980 42
Ivanka pri Dunaji,Senec,900 28
Ivanka pri Nitre,Nitra,951 12
Ivanovce,Trenčín,913 05
Iža,Komárno,946 39
Ižipovce,Liptovský Mikuláš,032 23
Ižkovce,Michalovce,076 72
Jabloň,Humenné,067 13
Jablonec,Pezinok,900 86
Jablonica,Senica,906 32
Jablonka,Myjava,906 21
Jablonov,Levoča,053 03
Jablonov nad Turňou,Rožňava,049 43
Jabloňovce,Levice,935 06
Jablonové,Bytča,013 52
Jablonové,Malacky,900 54
Jacovce,Topoľčany,956 21
Jahodná,Dunajská Streda,930 21
Jaklovce,Gelnica,055 61
Jakovany,Sabinov,083 01
Jakubany,Stará Ľubovňa,065 12
Jakubov,Malacky,900 63
Jakubova Voľa,Sabinov,082 56
Jakubovany,Liptovský Mikuláš,032 04
Jakubovany,Sabinov,083 01
Jakušovce,Stropkov,090 31
Jalová,Snina,067 61
Jalovec,Liptovský Mikuláš,032 21
Jalovec,Prievidza,972 31
Jalšové,Hlohovec,922 31
Jalšovík,Krupina,962 41
Jamník,Liptovský Mikuláš,033 01
Jamník,Spišská Nová Ves,053 22
Janice,Rimavská Sobota,980 42
Janík,Košice - okolie,044 05
Janíky,Dunajská Streda,930 39
Jankovce,Humenné,067 24
Janov,Prešov,082 42
Janova Lehota,Žiar nad Hronom,966 24
Janovce,Bardejov,086 41
Jánovce,Poprad,059 13
Jánovce,Galanta,925 22
Janovík,Prešov,082 03
Jarabá,Brezno,977 01
Jarabina,Stará Ľubovňa,065 31
Jarok,Nitra,951 48
Jarovnice,Sabinov,082 63
Jasenica,Považská Bystrica,018 17
Jasenie,Brezno,976 75
Jasenov,Humenné,066 01
Jasenov,Sobrance,073 01
Jasenová,Dolný Kubín,026 01
Jasenovce,Vranov nad Topľou,094 05
Jasenové,Žilina,013 19
Jasenovo,Turčianske Teplice,038 22
Jaslovské Bohunice,Trnava,919 30
Jasov,Košice - okolie,044 23
Jasová,Nové Zámky,941 34
Jastrabá,Žiar nad Hronom,967 01
Jastrabie nad Topľou,Vranov nad Topľou,094 35
Jastrabie pri Michal,Michalovce,072 11
Jatov,Nové Zámky,941 10
Jazernica,Turčianske Teplice,038 44
Jedlinka,Bardejov,086 36
Jedľové Kostoľany,Zlaté Moravce,951 96
Jelenec,Nitra,951 73
Jelka,Galanta,925 23
Jelšava,Revúca,
Jelšovce,Nitra,951 43
Jelšovec,Lučenec,985 32
Jenkovce,Sobrance,072 52
Jesenské,Levice,935 36
Jesenské,Rimavská Sobota,980 02
Jestice,Rimavská Sobota,980 04
Ješkova Ves,Partizánske,958 45
Jezersko,Kežmarok,059 04
Jovice,Rožňava,049 45
Jovsa,Michalovce,072 32
Jur nad Hronom,Levice,935 57
Jurkova Voľa,Svidník,089 01
Jurová,Dunajská Streda,930 04
Jurské,Kežmarok,059 94
Juskova Voľa,Vranov nad Topľou,094 12
Kačanov,Michalovce,072 05
Kajal,Galanta,
Kaľamenová,Turčianske Teplice,038 22
Kalameny,Ružomberok,034 82
Kaľava,Spišská Nová Ves,053 42
Kalinkovo,Senec,900 43
Kalinov,Medzilaborce,068 01
Kalinovo,Poltár,985 01
Kalná nad Hronom,Levice,935 32
Kalná Roztoka,Snina,067 72
Kálnica,Nové Mesto n.Váhom,916 37
Kalnište,Svidník,087 01
Kalonda,Lučenec,985 31
Kaloša,Rimavská Sobota,982 52
Kaloša-Téška,Rimavská Sobota,982 51
Kalša,Košice - okolie,044 18
Kaluža,Michalovce,072 36
Kamanová,Topoľčany,956 12
Kameňany,Revúca,049 62
Kamenec pod Vtáč.,Prievidza,972 44
Kamenica,Sabinov,082 71
Kamenica n/Cirochou,Humenné,067 83
Kamenica nad Hronom,Nové Zámky,943 65
Kameničany,Ilava,018 54
Kameničná,Komárno,946 01
Kamenín,Nové Zámky,943 57
Kamenná Poruba,Žilina,013 14
Kamenná Poruba,Vranov nad Topľou,093 03
Kamenné Kosihy,Veľký Krtíš,991 27
Kamenný Most,Nové Zámky,943 58
Kamienka,Stará Ľubovňa,065 32
Kamienka,Humenné,067 83
Kanianka,Prievidza,972 17
Kapince,Nitra,951 24
Kapišová,Svidník,090 01
Kaplna,Senec,900 84
Kapušany,Prešov,082 12
Kapušianske Kľačany,Michalovce,079 01
Karlová,Martin,038 15
Karná,Humenné,067 45
Kašov,Trebišov,076 02
Kátlovce,Trnava,919 55
Kátov,Skalica,908 49
Kazimír,Trebišov,076 13
Kecerovce,Košice - okolie,044 47
Kecerovský Lipovec,Košice - okolie,044 47
Kečkovce,Svidník,090 11
Kečovo,Rožňava,049 55
Kechnec,Košice - okolie,044 58
Kendice,Prešov,082 01
Kesovce,Rimavská Sobota,980 45
Keť,Levice,935 64
Kežmarok,Kežmarok,060 01
Kiarov,Veľký Krtíš,991 06
Kľačany,Hlohovec,920 64
Kľače,Žilina,013 19
Kľačno,Prievidza,972 15
Kladzany,Vranov nad Topľou,094 21
Kľak,Žarnovica,966 77
Klasov,Nitra,951 53
Kláštor pod Znievom,Martin,038 43
Klátova Nová Ves,Partizánske,958 44
Klčov,Levoča,053 02
Kleňany,Veľký Krtíš,991 10
Klenov,Prešov,082 44
Klenová,Snina,067 72
Klenovec,Rimavská Sobota,980 55
Klieština,Považská Bystrica,018 02
Klin,Námestovo,029 41
Klin nad Bodrogom,Trebišov,076 31
Klížska Nemá,Komárno,946 19
Klokoč,Detva,962 25
Klokočov,Čadca,023 22
Klokočov,Michalovce,072 31
Klubina,Čadca,023 04
Kľúčovec,Dunajská Streda,930 07
Kluknava,Gelnica,053 51
Kľušov,Bardejov,086 22
Kmeťovo,Nové Zámky,941 62
Kobeliarovo,Rožňava,049 23
Kobylnice,Svidník,087 01
Kobyly,Bardejov,086 22
Koceľovce,Rožňava,049 35
Kociha,Rimavská Sobota,980 52
Kocurany,Prievidza,972 02
Kočín-Lančár,Piešťany,922 04
Kočovce,Nové Mesto n.Váhom,916 31
Kochanovce,Humenné,066 01
Kochanovce,Bardejov,086 46
Kojatice,Prešov,082 32
Kojšov,Gelnica,055 52
Kokava nad Rimavicou,Poltár,
Kokošovce,Prešov,082 52
Kokšov - Bakša,Košice - okolie,044 13
Kolačkov,Stará Ľubovňa,065 11
Kolačno,Partizánske,958 41
Koláre,Veľký Krtíš,991 09
Kolárovice,Bytča,013 54
Kolárovo,Komárno,946 03
Kolbasov,Snina,067 66
Kolbovce,Stropkov,090 31
Kolibabovce,Sobrance,072 61
Kolíňany,Nitra,
Kolinovce,Spišská Nová Ves,053 42
Kolonica,Snina,067 61
Kolta,Nové Zámky,941 33
Komárany,Vranov nad Topľou,093 01
Komárno,Komárno,
Komárov,Bardejov,086 11
Komárovce,Košice - okolie,044 55
Komjatice,Nové Zámky,941 06
Komjatná,Ružomberok,034 96
Komoča,Nové Zámky,941 21
Koniarovce,Topoľčany,956 13
Konrádovce,Rimavská Sobota,980 32
Konská,Žilina,013 13
Konská,Liptovský Mikuláš,032 04
Koňuš,Sobrance,072 63
Kopčany,Skalica,908 48
Kopernica,Žiar nad Hronom,967 01
Koplotovce,Hlohovec,920 01
Koprivnica,Bardejov,
Kordíky,Banská Bystrica,976 34
Korejovce,Svidník,090 05
Korňa,Čadca,023 21
Koromľa,Sobrance,072 62
Korunková,Stropkov,090 31
Korytárky,Detva,962 04
Korytné,Levoča,053 05
Kosihovce,Veľký Krtíš,991 25
Kosihy nad Ipľom,Veľký Krtíš,991 11
Kosorín,Žiar nad Hronom,966 24
Kostoľany n/Hornádom,Košice - okolie,044 31
Kostoľany p/Tribečom,Zlaté Moravce,951 77
Kostolec,Považská Bystrica,017 05
Kostolište,Malacky,900 62
Kostolná pri Dunaji,Senec,903 01
Kostolná Ves,Prievidza,972 26
Kostolná - Záriečie,Trenčín,913 04
Kostolné,Myjava,916 13
Kostolné Kračany,Dunajská Streda,930 03
Koš,Prievidza,972 41
Košariská,Myjava,906 15
Košarovce,Humenné,094 06
Košeca,Ilava,018 64
Košecké Podhradie,Ilava,018 31
Košice -Vyšné Opátske,Košice IV,
Košice-Barca,Košice IV,
Košice-Dargovských hrdinov,Košice III,
Košice-Džungľa,Košice I,
Košice-Juh,Košice IV,
Košice-Kavečany,Košice I,
Košice-Košická Nová Ves,Košice III,
Košice-Krásna,Košice IV,
Košice-Lorinčík,Košice II,
Košice-Luník IX,Košice II,
Košice-Myslava,Košice II,
Košice-Nad jazerom,Košice IV,
Košice-Pereš,Košice II,
Košice-Poľov,Košice II,
Košice-Sever,Košice I,
Košice-Sídlisko KVP,Košice II,
Košice-Sídlisko Ťahanovce,Košice I,
Košice-Staré Mesto,Košice I,
Košice-Šaca,Košice II,
Košice-Šebastovce,Košice IV,
Košice-Ťahanovce,Košice I,
Košice-Západ,Košice II,
Košická Belá,Košice - okolie,044 65
Košická Polianka,Košice - okolie,044 41
Košické Oľšany,Košice - okolie,044 42
Košický Klečenov,Košice - okolie,044 45
Koškovce,Humenné,067 12
Košolná,Trnava,919 01
Košťany nad Turcom,Martin,038 41
Košúty,Galanta,
Kotešová,Bytča,013 61
Kotmanová,Lučenec,985 53
Kotrčiná Lúčka,Žilina,013 02
Kováčová,Rožňava,049 42
Kováčová,Zvolen,962 37
Kováčovce,Veľký Krtíš,991 06
Koválov,Senica,906 03
Koválovec,Skalica,908 63
Kovarce,Topoľčany,956 15
Kozárovce,Levice,935 22
Kozelník,Banská Štiavnica,966 15
Kozí Vrbovok,Krupina,962 41
Kožany,Bardejov,086 12
Kožuchov,Trebišov,076 01
Kožuchovce,Stropkov,090 22
Kračúnovce,Svidník,087 01
Krahule,Žiar nad Hronom,967 01
Krajná Bystrá,Svidník,090 05
Krajná Poľana,Svidník,090 05
Krajná Porúbka,Svidník,090 05
Krajné,Myjava,
Krajné Čierno,Svidník,090 03
Krakovany,Piešťany,922 02
Kráľ,Rimavská Sobota,980 45
Králiky,Banská Bystrica,976 34
Kráľov Brod,Galanta,925 41
Kráľova Lehota,Liptovský Mikuláš,032 33
Kráľová nad Váhom,Šaľa,925 91
Kráľová pri Senci,Senec,
Kraľovany,Dolný Kubín,
Kráľovce,Košice - okolie,044 44
Kráľovce - Krnišov,Krupina,962 65
Kráľovičove Kračany,Dunajská Streda,930 03
Kráľovský Chlmec,Trebišov,077 01
Kraskovo,Rimavská Sobota,980 26
Krásna Lúka,Sabinov,082 73
Krásna Ves,Bánovce nad Bebravou,956 53
Krasňany,Žilina,013 03
Krásno,Partizánske,958 43
Krásno nad Kysucou,Čadca,023 02
Krásnohor. Dlhá Lúka,Rožňava,049 45
Krásnohor. Podhradie,Rožňava,049 41
Krásnovce,Michalovce,072 01
Krásny Brod,Medzilaborce,068 01
Kravany,Poprad,059 18
Kravany,Trebišov,076 61
Kravany nad Dunajom,Komárno,946 36
Krčava,Sobrance,072 51
Kremná,Stará Ľubovňa,065 22
Kremnica,Žiar nad Hronom,967 01
Kremnické Bane,Žiar nad Hronom,967 01
Kristy,Sobrance,072 55
Krišľovce,Stropkov,090 31
Krišovská Liesková,Michalovce,079 01
Krivá,Dolný Kubín,027 55
Kriváň,Detva,962 04
Krivany,Sabinov,082 71
Krivé,Bardejov,086 04
Krivoklát,Ilava,018 52
Krivosúd - Bodovka,Trenčín,913 11
Kríže,Bardejov,086 04
Krížová Ves,Kežmarok,059 01
Krížovany,Prešov,082 33
Križovany n/Dudváhom,Trnava,919 24
Krná,Poltár,985 25
Krnča,Topoľčany,956 19
Krokava,Rimavská Sobota,982 67
Krompachy,Spišská Nová Ves,053 42
Krpeľany,Martin,038 54
Krškany,Levice,934 01
Krtovce,Topoľčany,956 03
Kručov,Stropkov,090 32
Krupina,Krupina,963 01
Krušetnica,Námestovo,029 54
Krušinec,Stropkov,091 01
Krušovce,Topoľčany,956 31
Kružlov,Bardejov,086 04
Kružlová,Svidník,090 02
Kružná,Rožňava,049 51
Kružno,Rimavská Sobota,979 01
Kšinná,Bánovce nad Bebravou,956 41
Kubáňovo,Levice,935 75
Kučín,Bardejov,086 12
Kučín,Vranov nad Topľou,094 21
Kuchyňa,Malacky,900 52
Kuklov,Senica,908 78
Kuková,Svidník,086 44
Kukučínov,Levice,937 01
Kunerad,Žilina,013 13
Kunešov,Žiar nad Hronom,967 01
Kunova Teplica,Rožňava,049 32
Kuraľany,Levice,935 64
Kurima,Bardejov,086 12
Kurimany,Levoča,054 01
Kurimka,Svidník,090 16
Kurov,Bardejov,086 04
Kusín,Michalovce,072 32
Kútniky,Dunajská Streda,929 01
Kúty,Senica,908 01
Kuzmice,Trebišov,076 12
Kuzmice,Topoľčany,956 21
Kvačany,Liptovský Mikuláš,032 23
Kvačany,Prešov,082 41
Kvakovce,Vranov nad Topľou,094 02
Kvašov,Púchov,020 62
Kvetoslavov,Dunajská Streda,930 41
Kyjatice,Rimavská Sobota,980 54
Kyjov,Stará Ľubovňa,065 48
Kynceľová,Banská Bystrica,974 01
Kysak,Košice - okolie,044 81
Kyselica,Dunajská Streda,930 30
Kysihýbel,Banská Štiavnica,969 01
Kysta,Trebišov,076 02
Kysucké Nové Mesto,Kysucké Nové Mesto,
Kysucký Lieskovec,Kysucké Nové Mesto,023 34
Láb,Malacky,900 67
Lackov,Krupina,962 44
Lacková,Stará Ľubovňa,065 01
Lackovce,Humenné,066 01
Lada,Prešov,082 12
Ladce,Ilava,018 63
Ladice,Zlaté Moravce,951 77
Ladmovce,Trebišov,076 34
Ladomerská Vieska,Žiar nad Hronom,965 01
Ladomirov,Snina,
Ladomirová,Svidník,090 03
Ladzany,Krupina,962 65
Lakšárska Nová Ves,Senica,908 76
Lascov,Bardejov,086 45
Laskár,Martin,038 43
Lastomír,Michalovce,072 37
Lastovce,Trebišov,076 14
Laškovce,Michalovce,072 01
Látky,Detva,985 45
Lazany,Prievidza,972 11
Lazisko,Liptovský Mikuláš,032 11
Lazy pod Makytou,Púchov,020 55
Lažany,Prešov,082 32
Lednica,Púchov,020 63
Lednické Rovne,Púchov,020 61
Legnava,Stará Ľubovňa,065 46
Lehnice,Dunajská Streda,
Lehota,Nitra,951 36
Lehota nad Rimavicou,Rimavská Sobota,980 53
Lehota pod Vtáčnikom,Prievidza,972 42
Lehôtka,Lučenec,985 11
Lehôtka pod Brehmi,Žiar nad Hronom,966 01
Lechnica,Kežmarok,059 06
Lekárovce,Sobrance,072 54
Leľa,Nové Zámky,943 65
Leles,Trebišov,076 84
Lemešany,Prešov,082 03
Lenartov,Bardejov,086 06
Lenartovce,Rimavská Sobota,980 44
Lendak,Kežmarok,059 07
Lenka,Rimavská Sobota,980 50
Lentvora,Lučenec,985 13
Leopoldov,Hlohovec,920 41
Lesenice,Veľký Krtíš,991 08
Lesíček,Prešov,082 07
Lesné,Michalovce,071 01
Lesnica,Stará Ľubovňa,065 33
Lešť (vojenský obvod),Zvolen,
Lešť (vojenský obvod)-Kamenný Vrch,Veľký Krtíš,992 01
Leštiny,Dolný Kubín,026 01
Letanovce,Spišská Nová Ves,053 13
Letničie,Skalica,908 44
Leváre,Revúca,982 62
Levice,Levice,
Levkuška,Revúca,982 62
Levoča,Levoča,054 01
Ležiachov,Martin,038 42
Libichava,Bánovce nad Bebravou,956 38
Licince,Revúca,049 14
Ličartovce,Prešov,082 03
Liesek,Tvrdošín,027 12
Lieskovany,Spišská Nová Ves,053 21
Lieskovec,Humenné,067 45
Lieskovec,Zvolen,
Liešno,Turčianske Teplice,038 22
Liešťany,Prievidza,972 27
Lietava,Žilina,013 18
Lietavská Lúčka,Žilina,013 11
Lietavská Svinná-Babkov,Žilina,013 11
Likavka,Ružomberok,
Limbach,Pezinok,900 91
Lipany,Sabinov,082 71
Lipník,Prievidza,972 32
Lipníky,Prešov,082 12
Lipová,Bardejov,086 12
Lipová,Nové Zámky,941 02
Lipovany,Lučenec,985 31
Lipovce,Prešov,082 36
Lipové,Komárno,946 14
Lipovec,Martin,038 61
Lipovec,Rimavská Sobota,980 23
Lipovník,Rožňava,049 42
Lipovník,Topoľčany,956 01
Liptovská Anna,Liptovský Mikuláš,032 23
Liptovská Kokava,Liptovský Mikuláš,032 44
Liptovská Lúžna,Ružomberok,034 72
Liptovská Osada,Ružomberok,034 73
Liptovská Porúbka,Liptovský Mikuláš,033 01
Liptovská Sielnica,Liptovský Mikuláš,032 23
Liptovská Štiavnica,Ružomberok,034 01
Liptovská Teplá,Ružomberok,034 83
Liptovská Teplička,Poprad,059 40
Liptovské Beharovce,Liptovský Mikuláš,032 21
Liptovské Kľačany,Liptovský Mikuláš,032 14
Liptovské Matiašovce,Liptovský Mikuláš,032 23
Liptovské Revúce,Ružomberok,034 74
Liptovské Sliače,Ružomberok,034 84
Liptovský Hrádok,Liptovský Mikuláš,033 01
Liptovský Ján,Liptovský Mikuláš,032 03
Liptovský Michal,Ružomberok,034 83
Liptovský Mikuláš,Liptovský Mikuláš,
Liptovský Ondrej,Liptovský Mikuláš,032 04
Liptovský Peter,Liptovský Mikuláš,033 01
Liptovský Trnovec,Liptovský Mikuláš,031 01
Lisková,Ružomberok,034 81
Lišov,Krupina,962 71
Litava,Krupina,962 44
Litmanová,Stará Ľubovňa,065 31
Livina,Partizánske,956 32
Livinské Opatovce,Partizánske,956 32
Livov,Bardejov,086 05
Livovská Huta,Bardejov,086 05
Lodno,Kysucké Nové Mesto,023 34
Lok,Levice,935 38
Lokca,Námestovo,029 51
Lom nad Rimavicou,Brezno,976 53
Lomná,Námestovo,029 54
Lomné,Stropkov,090 33
Lomnička,Stará Ľubovňa,065 03
Lontov,Levice,935 75
Lopašov,Skalica,908 63
Lopúchov,Bardejov,086 41
Lopušné Pažite,Kysucké Nové Mesto,023 36
Lošonec,Trnava,919 04
Lovce,Zlaté Moravce,951 92
Lovča,Žiar nad Hronom,966 21
Lovčica - Trubín,Žiar nad Hronom,966 23
Lovinobaňa,Lučenec,985 54
Lozorno,Malacky,900 55
Ložín,Michalovce,072 05
Ľubá,Nové Zámky,943 53
Ľubeľa,Liptovský Mikuláš,032 14
Lubeník,Revúca,049 18
Ľubica,Kežmarok,059 71
Ľubietová,Banská Bystrica,976 55
Lubina,Nové Mesto n.Váhom,916 12
Ľubiša,Humenné,067 11
Ľubochňa,Ružomberok,034 91
Ľuboreč,Lučenec,985 11
Ľuboriečka,Veľký Krtíš,991 02
Ľubotice,Prešov,
Ľubotín,Stará Ľubovňa,065 41
Ľubovec,Prešov,082 42
Lúč na Ostrove,Dunajská Streda,930 03
Lučatín,Banská Bystrica,976 61
Lučenec,Lučenec,
Lúčina,Prešov,082 07
Lučivná,Poprad,
Lúčka,Rožňava,049 42
Lúčka,Levoča,053 03
Lúčka,Sabinov,082 71
Lúčka,Svidník,087 01
Lúčky,Ružomberok,034 82
Lúčky,Michalovce,072 34
Lúčky,Žiar nad Hronom,967 01
Lúčnica nad Žitavou,Nitra,951 88
Ludanice,Topoľčany,956 11
Ľudovítová,Nitra,951 44
Ludrová,Ružomberok,034 71
Ľudvikov dvor,Košice - okolie,040 15
Luhyňa,Trebišov,076 14
Lúka,Nové Mesto n.Váhom,916 33
Lukačovce,Humenné,067 24
Lukáčovce,Nitra,951 23
Lukavica,Bardejov,086 21
Lukavica,Zvolen,962 31
Lukov,Bardejov,086 05
Lukovištia,Rimavská Sobota,980 26
Lúky,Púchov,020 53
Lula,Levice,935 35
Lupoč,Lučenec,985 11
Lutila,Žiar nad Hronom,966 22
Ľutina,Sabinov,082 57
Lutiše,Žilina,013 05
Ľutov,Bánovce nad Bebravou,957 03
Lužany,Topoľčany,956 07
Lužany pri Topli,Svidník,087 01
Lužianky,Nitra,
Lysá pod Makytou,Púchov,020 54
Lysica,Žilina,013 05
Macov,Dunajská Streda,930 32
Mad,Dunajská Streda,930 14
Madunice,Hlohovec,922 42
Magnezitovce,Revúca,049 16
Machulince,Zlaté Moravce,951 93
Majcichov,Trnava,919 22
Majere,Kežmarok,061 01
Majerovce,Vranov nad Topľou,094 09
Makov,Čadca,023 56
Makovce,Stropkov,090 23
Malá Čalomija,Veľký Krtíš,991 08
Malá Čausa,Prievidza,971 01
Malá Čierna,Žilina,015 01
Malá Domaša,Vranov nad Topľou,094 02
Malá Franková,Kežmarok,059 78
Malá Hradná,Bánovce nad Bebravou,956 54
Malá Ida,Košice - okolie,044 20
Malá Lehota,Žarnovica,966 42
Malá Lodina,Košice - okolie,044 81
Malá Mača,Galanta,925 21
Malá nad Hronom,Nové Zámky,943 65
Malá Poľana,Stropkov,090 24
Malá Tŕňa,Trebišov,076 82
Malacky,Malacky,901 01
Malachov,Banská Bystrica,974 05
Málaš,Levice,
Malatiná,Dolný Kubín,026 01
Malatíny,Liptovský Mikuláš,032 15
Malcov,Bardejov,086 06
Malčice,Michalovce,072 06
Malé Borové,Liptovský Mikuláš,027 32
Malé Dvorníky,Dunajská Streda,929 01
Malé Hoste,Bánovce nad Bebravou,956 37
Malé Chyndice,Nitra,951 54
Malé Kosihy,Nové Zámky,943 61
Malé Kozmálovce,Levice,935 21
Malé Kršteňany,Partizánske,958 03
Malé Lednice,Považská Bystrica,018 16
Malé Leváre,Malacky,908 74
Malé Ludince,Levice,937 01
Malé Ozorovce,Trebišov,078 01
Malé Raškovce,Michalovce,072 17
Malé Ripňany,Topoľčany,956 07
Malé Straciny,Veľký Krtíš,990 01
Malé Trakany,Trebišov,076 42
Malé Uherce,Partizánske,958 03
Malé Vozokany,Zlaté Moravce,951 82
Malé Zálužie,Nitra,951 24
Malé Zlievce,Veľký Krtíš,991 22
Málinec,Poltár,985 26
Malinová,Prievidza,972 13
Malinovo,Senec,900 45
Malužiná,Liptovský Mikuláš,032 34
Malý Cetín,Nitra,951 07
Malý Čepčín,Turčianske Teplice,038 45
Malý Horeš,Trebišov,076 52
Malý Kamenec,Trebišov,076 36
Malý Krtíš,Veľký Krtíš,990 01
Malý Lapáš,Nitra,951 04
Malý Lipník,Stará Ľubovňa,065 46
Malý Slavkov,Kežmarok,060 01
Malý Slivník,Prešov,082 67
Malý Šariš,Prešov,080 01
Malženice,Trnava,919 29
Maňa,Nové Zámky,941 45
Mankovce,Zlaté Moravce,951 91
Marcelová,Komárno,946 32
Margecany,Gelnica,055 01
Marhaň,Bardejov,086 45
Marianka,Malacky,900 33
Markovce,Michalovce,072 06
Markuška,Rožňava,049 34
Markušovce,Spišská Nová Ves,053 21
Maršová-Rašov,Bytča,013 51
Martin,Martin,
Martin nad Žitavou,Zlaté Moravce,953 01
Martinček,Ružomberok,034 95
Martinová,Rimavská Sobota,980 41
Martovce,Komárno,947 01
Mašková,Lučenec,985 11
Maškovce,Humenné,067 32
Matejovce n.Hornádom,Spišská Nová Ves,053 21
Matiaška,Vranov nad Topľou,094 31
Matiašovce,Kežmarok,059 04
Matovce,Svidník,090 42
Maťovské Vojkovce,Michalovce,079 01
Matúškovo,Galanta,925 01
Matysová,Stará Ľubovňa,065 46
Medovarce,Krupina,962 65
Medvedie,Svidník,090 05
Medveďov,Dunajská Streda,930 07
Medzany,Prešov,082 21
Medzev,Košice - okolie,044 25
Medzianky,Vranov nad Topľou,094 31
Medzibrod,Banská Bystrica,976 96
Medzibrodie n/Oravou,Dolný Kubín,026 01
Medzilaborce,Medzilaborce,068 01
Melčice-Lieskové,Trenčín,913 05
Melek,Nitra,952 01
Meliata,Rožňava,049 12
Mengusovce,Poprad,059 36
Merašice,Hlohovec,920 61
Merník,Vranov nad Topľou,094 23
Mestečko,Púchov,020 52
Mestisko,Svidník,090 41
Mičakovce,Svidník,087 01
Mierovo,Dunajská Streda,930 41
Miezgovce,Bánovce nad Bebravou,957 01
Michajlov,Snina,067 73
Michal na Ostrove,Dunajská Streda,930 35
Michal nad Žitavou,Nové Zámky,941 62
Michaľany,Trebišov,076 14
Michalková,Zvolen,962 61
Michalok,Vranov nad Topľou,094 23
Michalová,Brezno,976 57
Michalovce,Michalovce,071 01
Miklušovce,Prešov,082 44
Miková,Stropkov,090 24
Mikulášová,Bardejov,086 36
Mikušovce,Ilava,018 57
Mikušovce,Lučenec,984 01
Milhosť,Košice - okolie,044 58
Miloslavov,Senec,900 42
Milpoš,Sabinov,082 71
Miňovce,Stropkov,090 32
Mirkovce,Prešov,082 06
Miroľa,Svidník,090 05
Mládzovo,Poltár,985 02
Mlynárovce,Svidník,090 16
Mlynčeky,Kežmarok,059 76
Mlynica,Poprad,059 91
Mlynky,Spišská Nová Ves,053 76
Mníchova Lehota,Trenčín,913 21
Mníšek nad Hnilcom,Gelnica,055 64
Mníšek nad Popradom,Stará Ľubovňa,065 22
Moča,Komárno,946 37
Močenok,Šaľa,951 31
Močiar,Banská Štiavnica,969 82
Modra,Pezinok,900 01
Modra nad Cirochou,Humenné,067 82
Modrany,Komárno,946 33
Modrová,Nové Mesto n.Váhom,916 35
Modrovka,Nové Mesto n.Váhom,916 35
Modrý Kameň,Veľký Krtíš,992 01
Mojmírovce,Nitra,951 15
Mojš,Žilina,010 01
Mojtín,Púchov,020 72
Mojzesovo,Nové Zámky,941 04
