OBEC,OKRES,PSC
Bratislava-Ružinov,Bratislava II,
Bratislava-Staré Mesto,Bratislava I,
Bratislava-Vajnory,Bratislava III,
Bratislava-Vrakuňa,Bratislava II,
Bratislava-Záhorská Bystrica,Bratislava IV,
Braväcovo,Brezno,976 64
Brdárka,Rožňava,049 34
Brehov,Trebišov,076 05
Brehy,Žarnovica,968 01
Brekov,Humenné,066 01
Brestov,Humenné,066 01
Brestov,Prešov,082 05
Brestov nad Laborcom,Medzilaborce,067 01
Brestovany,Trnava,919 27
Brestovec,Komárno,946 17
Brestovec,Myjava,
Bretejovce,Prešov,082 03
Bretka,Rožňava,980 46
Breza,Námestovo,029 53
Brezany,Žilina,010 04
Brezina,Trebišov,076 12
Breziny,Zvolen,962 61
Breznica,Stropkov,091 01
Breznička,Stropkov,091 01
Breznička,Poltár,985 02
Brezno,Brezno,
Brezolupy,Bánovce nad Bebravou,957 01
Brezov,Bardejov,087 01
Brezová pod Bradlom,Myjava,906 13
Brezovec,Snina,067 73
Brezovica,Tvrdošín,028 01
Brezovica,Sabinov,082 74
Brezovička,Sabinov,082 74
Brezovka,Bardejov,086 11
Brežany,Prešov,082 41
Brhlovce,Levice,935 02
Brieštie,Turčianske Teplice,038 22
Brodské,Skalica,908 85
Brodzany,Partizánske,958 42
Brunovce,Nové Mesto n.Váhom,916 25
Brusnica,Stropkov,090 31
Brusník,Veľký Krtíš,991 01
Brusno,Banská Bystrica,976 62
Brutovce,Levoča,053 73
Bruty,Nové Zámky,943 55
Brvnište,Považská Bystrica,018 12
Brzotín,Rožňava,049 51
Buclovany,Bardejov,086 43
Búč,Komárno,946 35
Bučany,Trnava,919 28
Budča,Zvolen,962 33
Budikovany,Rimavská Sobota,980 23
Budimír,Košice - okolie,044 43
Budiná,Lučenec,985 12
Budince,Michalovce,076 77
Budiš,Turčianske Teplice,038 23
Budkovce,Michalovce,
Budmerice,Pezinok,900 86
Buglovce,Levoča,053 04
Buková,Trnava,919 10
Bukovce,Stropkov,090 22
Bukovec,Košice - okolie,044 20
Bukovec,Myjava,906 14
